MNEMONICID,COURSENAME
ds_biz_anaytics,Business Analytics for Data Scientists
ds_tech_bootcamp,Technical Bootcamp
ds5001,Exploratory Text Analytics
cs5012,Foundations of Computer Science
ds5100,Programming for Data Science
ds5110,Big Data Systems
ds6001,Practice and Application of Data Science
ds6002,Big Data Ethics
ds6011,Data Science Capstone Project Work I
ds6013,Data Science Capstone Project Work II
ds6030,Statistical Learning
ds6040,Bayesian Machine Learning
ds6050,Deep Learning
sarc5400,Data Visualization
stat6021,Linear Models for Data Science
