TERM,INSTRUCTORNAME,COURSECOUNT
fall2021,Abbas Kazemipour,1
fall2021,Adam Tashman,1
fall2021,Bill Basener,2
fall2021,Cait Dreisbach,1
fall2021,Eric Tassone,2
fall2021,Jeffrey Woo,1
fall2021,Jeremy Bolton,2
fall2021,Judy Fox,1
fall2021,Lei Xie,1
fall2021,Marc Ruggiano,1
fall2021,Pete Alonzi,1
fall2021,Peter Gedeck,1
fall2021,Raf Alvarado,1
fall2021,Renee Cummings,1
fall2021,Sree Mallikarjun,1
fall2021,Stephen Baek,1
fall2021,Teague Henry,1
spring2021,Adam Tashman,1
spring2021,Bill Basener,1
spring2021,Eric Field,1
spring2021,Jason Williamson,1
spring2021,Jeffrey Woo,1
spring2021,Jon Kropko,2
spring2021,Judy Fox,1
spring2021,Luis Felipe Rosado Murillo,2
spring2021,Mike Porter,1
spring2021,Panagiotis Apostolellis,1
spring2021,Pete Alonzi,1
spring2021,Raf Alvarado,1
spring2021,Rich Nguyen,1
spring2021,Sree Mallikarjun,1
summer2021,Adam Tashman,1
summer2021,Jason Williamson,1
summer2021,Jeffrey Woo,1
summer2021,Jeremy Bolton,1
summer2021,Jon Kropko,1
summer2021,Nada Basit,1
summer2021,Pete Alonzi,1
summer2021,Peter Gedeck,1
summer2021,Raf Alvarado,2
summer2021,Renee Cummings,2
summer2021,Rich Nguyen,1
summer2021,Sree Mallikarjun,1
summer2021,Teague Henry,2
