OutcomeID,MnemonicID,LearningOutcome,IsActive
1001,ds_biz_analytics,"Understand the fundamentals of modern business with an emphasis on stakeholders, value-creation, industries, markets, and competition",TRUE
1002,ds_biz_analytics,"Apply data science tools to the primary business functions in which they may be working: strategy, sales, marketing, finance, operations, human resources and technology",TRUE
1003,ds_biz_analytics,"Understand key data sources, models, metrics, and tools that will be critical to their success during their careers, as they work in or support each of these business areas.",TRUE
1004,ds_biz_analytics,"Apply ethical data science principles to key business functions (e.g., finance, marketing, etc)",TRUE
1005,ds_biz_analytics,"Use critical thinking skills to understand, analyze, or solve business problems",TRUE
1006,ds_biz_analytics,Communicate effectively in both speech and writing,TRUE
1007,ds_biz_analytics,Collaborate effectively with peers,TRUE
1008,ds_biz_analytics,Formulate and ask insightful questions,TRUE
1009,ds_biz_analytics,Engage appropriately with senior executives at an enterprise level,TRUE
1010,ds_tech_bootcamp,Research documentation on your own as a first line of action,TRUE
1011,ds_tech_bootcamp,Describe the components of a computer,TRUE
1012,ds_tech_bootcamp,Explain the scales of computational power and scales of data,TRUE
1013,ds_tech_bootcamp,"Differentiate between Windows, MacOS ,and Linux operating systems",TRUE
1014,ds_tech_bootcamp,Compare Command Line (CLI) and Graphical User Interface (GUI) shells,TRUE
1015,ds_tech_bootcamp,Demonstrate installing software to your computer,TRUE
1016,ds_tech_bootcamp,Implement important tasks with Linux,TRUE
1017,ds_tech_bootcamp,Create a GitHub account for career or personal use,TRUE
1018,ds_tech_bootcamp,Use CLI to operate Git software for version control,TRUE
1019,ds_tech_bootcamp,Use GUI to operate Github website interface for version control,TRUE
1020,ds_tech_bootcamp,Know how to Install R,TRUE
1021,ds_tech_bootcamp,Know how to install and launch Rstudio,TRUE
1022,ds_tech_bootcamp,Know how to install Anaconda,TRUE
1023,ds_tech_bootcamp,Know how to launch Spyder,TRUE
1024,ds_tech_bootcamp,Know how to launch Jupyter Notebook,TRUE
1025,ds5001,Understand and use language models such as bag of words,TRUE
1026,ds5001,Understand and use vector space models,TRUE
1027,ds5001,Understand how to measure similarity between documents,TRUE
1028,ds5001,Understand how Principal Component Analysis (PCA) works,TRUE
1029,ds5001,Understand and use topic models such as Latent Dirichlet Allocation (LDA),TRUE
1030,ds5001,Understand and use word embedding such as glove and word2vec,TRUE
1031,ds5001,Understand and use sentiment analysis such as VADER,TRUE
1032,ds5001,Understand and use Naive Bayes classification,TRUE
1033,cs5012,Have a working knowledge of parallel computing and apply this knowledge for improved computing efficiency,TRUE
1034,cs5012,"Select, Computationally Assess, and Deploy appropriate and efficient data structures and algorithms to solve Data Science problems",TRUE
1035,cs5012,"Define and Use Logic, Data Structures, and Algorithms to Solve Problems ",TRUE
1036,cs5012,"Connect, Transform, and Reduce Real-World Problems to Classical Problem Frameworks to make use of existing, efficient algorithmic solutions",TRUE
1037,cs5012,Independently Explore advanced or supplementary topics to attain a deeper and complimentary understanding of topics,TRUE
1038,cs5012,"Reflect on peer-feedback, instructor-feedback, experiences, and lessons-learned related to the use of data structures and algorithms to make continual improvements and updates to methodologies applied ",TRUE
1039,cs5012,Have a working knowledge of the Algorithm Complexity Class Hierarchy in order to gain perspective of the scope of the field and its contextual application to Data Science ,TRUE
1040,cs5012,Design and understand regular expressions for pattern matching,TRUE
1041,cs5012,Understand the important considerations for proper database design,TRUE
1042,ds5100,Basic Dataframe operations (Python and R),TRUE
1043,ds5100,Clone a repo on GitHub,TRUE
1044,ds5100,Confidently work in an appropriate programming environment (IDE),TRUE
1045,ds5100,Confidently write a class and call its methods to simulate a scenario,TRUE
1046,ds5100,Confidently write and call functions in both Python and R,TRUE
1047,ds5100,Correctly pass parameters and retrieve function output(s),TRUE
1048,ds5100,"Data structures (e.g., sequences and collections: set, list, dict, tuple)",TRUE
1049,ds5100,Demonstrate how methods are inherited from base classes,TRUE
1050,ds5100,"Essential primitives (e.g., bool, int, float)",TRUE
1051,ds5100,Find and utilize resources including online documentation,TRUE
1052,ds5100,"I/O: at least three different formats, including csv, txt, JSON",TRUE
1053,ds5100,Identify and utilize primitive data types and data structures [Built in],TRUE
1054,ds5100,Import data into a Pandas Dataframe,TRUE
1055,ds5100,Incorporating some exception handling,TRUE
1056,ds5100,"NumPy, Pandas (essentials)",TRUE
1057,ds5100,Patch/debug broken code,TRUE
1058,ds5100,Patch/debug code using in-line testing and unit testing (advanced),TRUE
1059,ds5100,"Perform sensitivity analysis on functions (e.g., changing inputs and measuring impact on outputs)",TRUE
1060,ds5100,Perform simple mathematical calculations (Python and R),TRUE
1061,ds5100,R: Apply the Tidyverse Pipe operator to aggregate data,TRUE
